@RELATION dummy2

@ATTRIBUTE id string
@ATTRIBUTE created numeric
@ATTRIBUTE downvotes numeric
@ATTRIBUTE upvotes numeric
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE pokemonId numeric
@ATTRIBUTE trainerName string
@ATTRIBUTE userId string
@ATTRIBUTE deviceId string
@ATTRIBUTE class {+1,-1}

@DATA
S1b-TKdYK,1470888309,0,1,48.8628266252,2.3273080909,114,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HJMyaYOtK,1470888179,0,1,48.8631291794,2.2924871725,41,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
BkQOJqdKY,1470887900,0,1,50.0819307169,8.2467721155,90,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
ryL_J5uYK,1470888078,0,1,50.0844204402,8.2458634475,41,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
BJI9VcdFt,1470887849,0,1,49.4422953925,1.0918125534,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
r1b995OKt,1470887874,0,1,48.8655515996,2.3481721886,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HJiqcOKF,1470887830,0,1,48.8674831764,2.3537795448,10,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SJZjq9dtK,1470888312,0,1,48.896953985,2.3364393519,21,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HyxjcOYt,1470888257,0,1,48.8906615843,2.3901004087,48,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
S1q69KuYt,1470888223,0,1,45.1474333107,5.7151380056,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
r1mjt_KY,1470887819,0,1,49.4397855355,10.9900812672,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HJxioY_YK,1470887901,0,1,48.8852482791,2.2920800082,120,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rJviiYdtK,1470887876,0,1,48.8760350063,2.2963392634,74,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
Sy2f5OFF,1470887855,0,1,49.2556318783,4.0329694805,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Hyvr9utF,1470888474,0,1,48.8403266999,2.2841585063,118,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
BJewr5_tF,1470888260,0,1,48.8411782546,2.2848406778,1,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
BJZPScdtY,1470888012,0,1,48.8570648693,2.2848923645,21,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
Sysv5dtY,1470888285,0,1,45.7825562289,4.8504973433,1,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
Byow9Ott,1470887976,0,1,45.7608993515,4.8535295937,1,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
r18uR5_tK,1470887898,0,1,48.780829642,9.1840085817,35,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SJeMcdFK,1470887916,0,1,49.6121546615,6.1368745788,35,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
rkZPNFdYt,1470888153,0,1,48.8895578908,2.3901834214,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
